손님_01,직원_01,손님_02,직원_02,손님_03,직원_03
(date)에 예약 가능한가요?,네 가능합니다. 시간과 인원을 알려주세요.,"(time)이고, (person)입니다.",네. 확인하번 부탁드립니다. (date) (time) (person) 맞으실까요?,네 맞습니다. 감사합니다.,알겠습니다. 감사합니다.
혹시 (date)에 예약 가능한가요?,(date) 가능합니다. 시간과 인원을 알려주세요.,(time) (person)이에요.,알겠습니다. (date) (time) (person)으로 예약 도와드리겠습니다.,네 맞아요. 감사합니다.,네 감사합니다.
(date)에 식당 예약 가능한가요?,(date) 예약 가능합니다. 시간과 알려주세요.,(time) (person)인데 가능할까요?,확인했습니다. (date) (time) (person)으로 예약했습니다.,맞아요. 감사합니다.,예약해주셔서 감사합니다.
(date)에 예약 가능할까요?,가능합니다. 시간과 인원을 알려주시겠어요?,(time) (person)로 하고 싶은데 가능한가요?,,네 맞아요. 감사합니다.,네. 예약해주셔서 감사합니다.
(date)에 예약 가능한가요?,(date) 예약 가능합니다. 시간과 인원을 알려주시겠어요?,,,,확인했습니다. 예약해주셔서 감사합니다.
(date)에 예약하고 싶은데 가능할까요?,,,,,
(date)에 예약을 하고 싶은데 가능할까요?,,,,,
(date)에 예약 하려구요.,,,,,
안녕하세요. (date)에 식당 예약 가능한가요?,,,,,
안녕하세요. (date)에 식당 예약 하려고 하는데,,,,,
안녕하세요. (date)에 예약 가능한가요?,,,,,
아 여보세요. (date)에 예약 하려는데 가능한가요?,,,,,
아 여보세요. (date)에 예약 가능한가요?,,,,,
아 여보세요. (date)에 식당 예약 가능한가요?,,,,,
아 여보세요. (date)에 식당 예약 하려고 하는데 가능할가요?,,,,,
아 여보세요. 혹시 (date)에 예약 가능한가요?,,,,,
아 여보세요. (date)에 혹시 예약 가능한가요?,,,,,
여보세요. (date)에 예약 하려는데 가능한가요?,,,,,
여보세요. (date)에 예약 가능한가요?,,,,,
여보세요. (date)에 식당 예약 가능한가요?,,,,,
여보세요. (date)에 식당 예약 하려고 하는데 가능할가요?,,,,,
여보세요. (date)에 혹시 예약 가능한가요?,,,,,
